@relation reviews

@attribute 'great' real
@attribute 'story' real-
@attribute 'well' real
@attribute 'also' real
@attribute 'will' real
@attribute 'most' real
@attribute 'other' real
@attribute 'much' real
@attribute 'than' real
@attribute 'first' real-
@attribute 'love' real
@attribute 'into' real
@attribute 'films' real
@attribute 'best' real
@attribute 'people' real
@attribute 'how' real-
@attribute 'been' real-
@attribute 'get' real-
@attribute 'many' real
@attribute 'do' real -
@attribute 'way' real-
@attribute 'characters' real
@attribute 'life' real
@attribute 'think' real
@attribute 'made' real
@attribute 'dont' real-
@attribute 'too' real-
@attribute 'two' real
@attribute 'then' real-
@attribute 'seen' real
@attribute 'watch' real-
@attribute 'being' real
@attribute 'character' real
@attribute 'show' real
@attribute 'make' real
@attribute 'never' real
@attribute 'little' real
@attribute 'still' real
@attribute 'could' real
@attribute 'any' real
@attribute 'man' real
@attribute 'know' real
@attribute 'does' real
@attribute 'did' real-
@attribute 'ever' real
@attribute 'years' real
@attribute 'end' real
@attribute 'scene' real
@attribute 'over' real
@attribute 'real' real
@attribute 'say' real-
@attribute 'such' real
@attribute 'scenes' real
@attribute 'back' real
@attribute 'makes' real
@attribute 'here' real
@attribute 'now' real
@attribute 'acting' real
@attribute 'better' real
@attribute 'through' real
@attribute 'plot' real
@attribute 'go' real
@attribute 'find' real
@attribute 'new' real
@attribute 'off' real
@attribute 'lot' real
@attribute 'world' real
@attribute 'both' real
@attribute 'young' real
@attribute 'music' real
@attribute 'though' real
@attribute 'funny' real
@attribute 'another' real
@attribute 'work' real
@attribute 'own' real
@attribute 'quite' real
@attribute 'same' real
@attribute 'every' real
@attribute 'again' real
@attribute 'always' real
@attribute 'cast' real
@attribute 'should' real
@attribute 'actors' real
@attribute 'part' real
@attribute 'im' real-
@attribute 'old' real
@attribute 'look' real
@attribute 'may' real
@attribute 'watching' real
@attribute 'between' real
@attribute 'few' real
@attribute 'role' real
@attribute 'doesnt' real
@attribute 'things' real
@attribute 'saw' real
@attribute 'series' real
@attribute 'bad' real
@attribute 'going' real
@attribute 'performance' real
@attribute 'take' real
@attribute opinion {pos, neg}

@data
1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,pos
0,1,1,3,0,1,0,0,2,1,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,2,0,2,0,1,0,2,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,pos
0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,3,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pos
0,1,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,pos
2,2,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,pos
2,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,pos
0,1,0,1,0,1,0,2,0,0,0,1,0,2,0,1,1,0,1,0,0,0,4,2,0,0,1,0,0,0,0,1,2,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,pos
0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,pos
1,0,0,0,2,1,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,1,3,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,pos
1,0,0,0,0,2,1,3,2,0,0,1,0,0,0,1,0,1,0,1,1,0,4,1,0,0,2,1,0,0,0,3,1,0,0,0,0,0,0,1,1,1,2,0,0,0,1,1,1,4,0,0,1,3,1,0,1,4,0,0,0,0,0,5,0,0,0,2,1,1,0,0,0,0,1,0,0,0,1,1,0,0,2,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,pos
