@relation reviews

@attribute 'of' real
@attribute 'to' real
@attribute 'is' real
@attribute 'in' real
@attribute 'with' real
@attribute 'was' real
@attribute 'film' real
@attribute 'movie' real
@attribute 'on' real
@attribute 'are' real
@attribute 'not' real
@attribute 'one' real
@attribute 'be' real
@attribute 'have' real
@attribute 'by' real
@attribute 'at' real
@attribute 'all' real
@attribute 'who' real
@attribute 'from' real
@attribute 'has' real
@attribute '' real
@attribute 'like' real
@attribute 'about' real
@attribute 'very' real
@attribute 'out' real
@attribute 'more' real
@attribute 'what' real
@attribute 'some' real
@attribute 'good' real
@attribute 'just' real
@attribute 'there' real
@attribute 'great' real
@attribute 'see' real
@attribute 'story' real
@attribute 'time' real
@attribute 'which' real
@attribute 'up' real
@attribute 'well' real
@attribute 'can' real
@attribute 'really' real
@attribute 'also' real
@attribute 'would' real
@attribute 'will' real
@attribute 'had' real
@attribute 'were' real
@attribute 'only' real
@attribute 'most' real
@attribute 'other' real
@attribute 'even' real
@attribute 'no' real
@attribute 'much' real
@attribute 'than' real
@attribute 'first' real
@attribute 'love' real
@attribute 'into' real
@attribute 'films' real
@attribute 'best' real
@attribute 'people' real
@attribute 'how' real
@attribute 'been' real
@attribute 'get' real
@attribute 'many' real
@attribute 'do' real
@attribute 'way' real
@attribute 'characters' real
@attribute 'life' real
@attribute 'think' real
@attribute 'movies' real
@attribute 'made' real
@attribute 'dont' real
@attribute 'too' real
@attribute 'two' real
@attribute 'then' real
@attribute 'seen' real
@attribute 'watch' real
@attribute 'being' real
@attribute 'character' real
@attribute 'show' real
@attribute 'make' real
@attribute 'never' real
@attribute 'little' real
@attribute 'still' real
@attribute 'could' real
@attribute 'any' real
@attribute 'man' real
@attribute 'know' real
@attribute 'does' real
@attribute 'did' real
@attribute 'ever' real
@attribute 'years' real
@attribute 'end' real
@attribute 'scene' real
@attribute 'over' real
@attribute 'real' real
@attribute 'say' real
@attribute 'such' real
@attribute 'scenes' real
@attribute 'back' real
@attribute 'makes' real
@attribute 'here' real
@attribute opinion {pos, neg}

@data
5,5,1,1,2,6,0,4,0,0,2,1,0,0,2,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,3,0,0,1,0,2,1,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,pos
10,8,4,5,3,2,3,0,4,1,1,0,1,0,1,1,1,1,1,0,0,0,1,1,0,1,2,4,1,0,0,0,0,1,0,0,2,1,0,0,3,0,0,1,0,1,1,0,0,1,0,2,1,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,2,0,2,0,1,0,2,0,0,0,0,0,0,1,pos
10,5,6,7,2,2,1,2,0,1,4,2,0,1,2,2,0,3,3,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,pos
1,2,5,1,0,0,3,3,0,1,1,3,2,0,0,0,0,0,1,0,0,0,2,0,1,1,0,0,2,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,pos
10,3,7,3,2,0,3,3,0,1,0,1,0,0,0,1,0,2,0,1,1,0,2,0,0,1,0,0,0,1,0,2,0,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,pos
14,3,7,7,4,1,3,1,2,0,1,1,0,0,3,4,1,1,0,2,1,0,1,0,0,1,0,0,0,0,2,2,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,pos
7,4,7,8,2,2,2,0,4,0,0,1,2,2,1,2,1,2,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,4,0,2,0,0,1,0,0,1,2,0,0,0,1,0,2,0,1,1,0,1,0,0,0,4,2,0,0,0,1,0,0,0,0,1,2,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,pos
5,0,1,2,2,3,1,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,pos
1,0,3,2,1,0,0,6,0,0,1,0,0,0,1,1,0,3,1,0,0,2,0,0,0,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,1,3,0,2,0,0,0,0,pos
15,30,16,16,7,1,0,1,4,5,4,2,4,1,2,1,4,0,8,2,0,3,3,2,1,4,2,1,1,1,0,1,0,0,1,2,2,0,2,0,0,0,0,2,1,1,2,1,1,6,3,2,0,0,1,0,0,0,1,0,1,0,1,1,0,4,1,0,0,0,2,1,0,0,0,3,1,0,0,0,0,0,0,1,1,1,2,0,0,0,1,1,1,4,0,0,1,3,1,0,pos
